index,raw,uic,lat,lon,entries
0,Abancourt,87313759,49.6852237,1.7743058,abancourt
1,Abbaretz,87481614,47.5546432,-1.5244159,abbaretz
2,Abbeville,87317362,50.10221,1.82449,abbeville
6,Achiet-le-Grand,87342048,50.1317525,2.780168,achiet le grand
8,Aéroport Charles de Gaulle 2 TGV,87271494,49.003652,2.570892,aeroport charles de gaulle 2 tgv
9,Agay,87757559,43.4313701,6.8564997,agay
10,Agde,87781278,43.31728,3.466203,agde
11,Agen,87586008,44.208311,0.620932,agen
12,Agonac,87595157,45.2865966,0.7486706,agonac
13,Aguilcourt - Variscourt,87171702,49.408017,3.973137,aguilcourt variscourt
14,Aigrefeuille le Thou,87485193,46.09402,-0.95168,aigrefeuille le thou
15,Aiguebelette-le-Lac,87741421,45.5363048,5.8131468,aiguebelette le lac
16,Aiguebelle,87741256,45.5437225,6.3067175,aiguebelle
17,Aigueperse,87734129,46.0147884,3.1982621,aigueperse
18,Aigues-Mortes,87775858,43.5709008,4.1912102,aigues mortes
19,Aiguillon,87586693,44.2987224,0.3352388,aiguillon
20,Aillevillers,87185629,47.9138876,6.3372988,aillevillers
21,Ailly-sur-Noye,87313221,49.75448,2.36419,ailly sur noye
22,Ailly-sur-Somme,87313098,49.92838,2.20059,ailly sur somme
23,Aimargues,87775833,43.6786107,4.2082933,aimargues
24,Aime - La Plagne,87741769,45.5544,6.648646,aime la plagne
25,Aiserey,87713636,47.170501,5.1582447,aiserey
26,Aix-en-Provence,87751404,43.522912,5.445345,aix en provence
27,Aix-en-Provence TGV,87319012,43.455237,5.317534,aix en provence tgv
28,Aix-les-Bains le Revard,87741132,45.688161,5.909371,aix les bains le revard
29,Aixe-sur-Vienne,87592667,45.7965002,1.1456892,aixe sur vienne
30,Alaï,87722744,45.7521198,4.7717824,alai
31,Albens,87746115,45.785946,5.9483418,albens
32,Albert,87313072,50.00546,2.64453,albert
33,Albertville,87741645,45.672977,6.383167,albertville
34,Albi,87615005,43.92238,2.137958,albi
35,Albi Madeleine,87615195,43.938011,2.1409629,albi madeleine
36,Albias,87613398,44.0919078,1.4448012,albias
37,Albigny - Neuville,87721266,45.874921,4.832874,albigny neuville
38,Alençon,87444711,48.433884,0.098531,alencon
39,Alès,87775288,44.127825,4.084948,ales
40,Allassac,87594234,45.2589385,1.4731471,allassac
43,Allenc,87783654,44.541296,3.6638926,allenc
44,Alleyras,87731885,44.919217,3.673517,alleyras
45,Altkirch,87182238,47.6270174,7.2392493,altkirch
46,Amagne - Lucquy,87172262,49.5238187,4.4738775,amagne lucquy
47,Ambazac,87592311,45.9529056,1.406501,ambazac
48,Ambérieu-en-Bugey,87743716,45.954008,5.342388,amberieu en bugey
49,Amboise,87574343,47.42148,0.981299,amboise
50,Ambronay - Priay,87743146,46.0115941,5.3382579,ambronay priay
51,Amiens,87313874,49.890746,2.312592,amiens
52,Amifontaine,87171744,49.4847322,3.9105811,amifontaine
53,Amilly Ouerray,87394205,48.4381825,1.3892882,amilly ouerray
54,Amplepuis,87721035,45.970982,4.326844,amplepuis
55,Ancenis,87481192,47.369334,-1.177763,ancenis
56,Anchamps,87172858,49.9307448,4.6702434,anchamps
57,Anché - Voulon,87575332,46.3496187,0.2503424,anche voulon
58,Ancy-sur-Moselle,87192419,49.0575093,6.0627661,ancy sur moselle
59,Andelot-en-Montagne,87715102,46.8594671,5.923584,andelot en montagne
60,Andorre – l’Hospitalet,87611517,42.5894535,1.8002635,andorre l hospitalet
62,Andrézieux-Bouthéon,87726406,45.5217037,4.254834,andrezieux boutheon
63,Angers Maître École,87484048,47.4670899,-0.531894,angers maitre ecole
64,Angers Saint-Laud,87484006,47.464647,-0.55682,angers saint laud
65,Angerville,87543090,48.3112062,2.0034931,angerville
66,Angoulême,87583005,45.653572,0.164608,angouleme
67,Angoulins sur Mer,87485102,46.108057,-1.1154503,angoulins sur mer
68,Anizy - Pinon,87296566,49.4960073,3.4487637,anizy pinon
69,Annappes,87286856,50.6227708,3.1475351,annappes
70,Annecy,87746008,45.901965,6.121835,annecy
71,Annemasse,87745497,46.199222,6.23652,annemasse
72,Anor,87295055,49.984892,4.0929803,anor
73,Anse Halte,87721324,45.93929,4.71987,anse halte
74,Anthéor Cap Roux,87757567,43.4349641,6.8921036,antheor cap roux
75,Antibes,87757674,43.585784,7.119498,antibes
76,Anvin,87317255,50.446845,2.25494,anvin
77,Apach,87191643,49.458836,6.371972,apach
78,Appilly,87296459,49.5808826,3.1221903,appilly
79,Arbanats,87582726,44.6743555,-0.3954517,arbanats
80,Arbois,87718155,46.912509,5.7648273,arbois
81,Arc-et-Senans,87718841,47.0303516,5.7767843,arc et senans
82,Arcachon,87582668,44.659009,-1.16523,arcachon
83,Arches,87144410,48.1198133,6.5283085,arches
84,Arcy-sur-Cure,87683680,47.6008461,3.7668885,arcy sur cure
85,Arenc Euroméditerranée,87580340,43.3132339,5.3676221,arenc euromediterranee
86,Arengosse,87671479,44.0069764,-0.8093835,arengosse
87,Argelès-sur-Mer,87784231,42.54397,3.022349,argeles sur mer
88,Argentan,87444539,48.738545,-0.025291,argentan
90,Argentière,87746859,45.9819438,6.9264844,argentiere
91,Argenton-sur-Creuse,87597120,46.592248,1.518305,argenton sur creuse
92,Arles,87753657,43.684853,4.63203,arles
93,Arleux,87345421,50.2863204,3.1208073,arleux
94,Armentières,87286146,50.68084,2.87763,armentieres
95,Arnage,87396549,47.9285663,0.1898826,arnage
96,Arnèke,87281121,50.831522,2.4083063,arneke
98,Arras,87342014,50.286673,2.781942,arras
99,Arrou,87394486,48.0997945,1.1285567,arrou
100,Ars-sur-Moselle,87192401,49.0744745,6.0776461,ars sur moselle
101,Artenay,87543058,48.0808761,1.8833705,artenay
102,Artix,87672212,43.3931062,-0.5701881,artix
103,Arvant,87734251,45.3653797,3.3106747,arvant
104,Ascq,87286864,50.6218591,3.1598992,ascq
106,Aspres-sur-Buëch,87763250,44.519428,5.7545655,aspres sur buech
107,Assat,87672162,43.2543993,-0.2950176,assat
108,Assier,87613075,44.6746197,1.8697681,assier
110,Aubagne,87751750,43.296045,5.56658,aubagne
111,Aubazines - Saint-Hilaire,87594465,45.1816781,1.6412346,aubazines saint hilaire
113,Aubiat,87734111,45.983812,3.1605115,aubiat
114,Aubie - Saint-Antoine,87491233,45.0151419,-0.4198843,aubie saint antoine
115,Aubiet,87611764,43.6502068,0.7891179,aubiet
116,Aubigné-Racan,87396572,47.686945,0.2657714,aubigne racan
117,Aubigny-au-Bac,87345447,50.2685315,3.158706,aubigny au bac
118,Aubigny-en-Artois,87342246,50.35297,2.5928045,aubigny en artois
