station,commune
abancourt,abancourt
abbaretz,abbaretz
abbecourt,abbecourt
abbeville,abbeville
abilly,abilly
ablon,ablon sur seine
accolay,deux rivieres
accous,accous
acheux franleu,chepy
achicourt,achicourt
achiet,achiet le grand
acheres grand cormier,saint germain en laye
acheres ville,acheres
acquigny,acquigny
adamswiller,adamswiller
agay,saint raphael
agde,agde
agen,agen
agonac,agonac
aguessac,aguessac
aguilcourt variscourt,aguilcourt
ahun,moutier d ahun
aiffres,aiffres
aiglemont,aiglemont
aiglun,aiglun
aigrefeuille le thou,le thou
aiguebelette le lac,aiguebelette le lac
aiguebelle,val d arc
aigueblanche,grand aigueblanche
aigueperse,aigueperse
aigues mortes,aigues mortes
aigues vives,aigues vives
aiguillon,aiguillon
aigurande,aigurande
aillevillers,corbenay
ailly sur noye,ailly sur noye
ailly sur somme,ailly sur somme
aimargues,aimargues
aime la plagne,aime la plagne
ainay le vieil,ainay le vieil
airans,farges
aire sur l adour,aire sur l adour
aire sur la lys,aire sur la lys
airel,airel
airvault gare,airvault
airvault ville,airvault
aiserey,aiserey
aisey villars,aisey et richecourt
aisy,aisy sur armancon
aiton bourgneuf,bourgneuf
aix en othe villemaur,aix villemaur palis
aix en provence,aix en provence
aix en provence marchandises,aix en provence
aix en provence tgv,aix en provence
aix la marsalouse,aix
aix les bains le revard,aix les bains
aixe sur vienne,aixe sur vienne
aizenay,aizenay
ajaccio,ajaccio
ajat,ajat
alai,tassin la demi lune
albens,entrelacs
albert,albert
albertville,albertville
albi,albi
albi madeleine,albi
albias,albias
albigny neuville,albigny sur saone
alencon,alencon
alet les bains,alet les bains
algajola,algajola
alixan chateauneuf d isere,chateauneuf sur isere
allan,allan
allanche,allanche
alland huy,alland huy et sausseuil
allassac,allassac
allemogne,thoiry
allenc,allenc
allerey,allerey sur saone
alles sur dordogne,alles sur dordogne
allex grane,allex
alleyras,alleyras
alleyrat chaveroche,alleyrat
allibaudieres,allibaudieres
allichamps,louvemont
allinges mesinges,allinges
allieres,chambost allieres
allonnes boisville,boisville la saint pere
allouville bellefosse,allouville bellefosse
allegre,allegre
allee royale,saint cyr l ecole
almeneches,almeneches
alteckendorf,alteckendorf
altkirch,altkirch
alzonne,alzonne
ales,ales
amagne lucquy,lucquy
amagne village,amagne
amazy,amazy
ambazac,ambazac
ambert,ambert
amboise,amboise
ambrieres centre,ambrieres les vallees
ambronay priay,ambronay
ambrugeat,ambrugeat
amberieu,amberieu en bugey
amiens,amiens
amifontaine,amifontaine
amilly,amilly
amilly ouerray,amilly
amphion les bains,publier
amplepuis,amplepuis
ampuis,ampuis
amperevielle,semeac
amecourt talmontier,amecourt
ancemont,ancemont
ancenis,ancenis saint gereon
ancerville gue,ancerville
anchamps,anchamps
anche voulon,anche
ancy le franc,ancy le franc
ancy sur moselle,ancy dornot
andance,andance
andancette,andancette
andelat,saint flour
andelot,andelot en montagne
andelot haute marne,andelot blancheville
andilly,andilly en bassigny
andilly st ouen,saint ouen d aunis
andrest,andrest
andresy,andresy
andrezieux,andrezieux boutheon
anduze,anduze
angers maitre ecole,angers
angers st laud,angers
angers st serge,ecouflant
angerville,angerville
anglars nozac,anglars nozac
anglefort,anglefort
anglure,anglure
angoulins sur mer,angoulins
angouleme,angouleme
angrie loire,vallons de l erdre
aniche,aniche
anizy pinon,pinon
annappes,villeneuve d ascq
annay la cote,annay la cote
annecy,annecy
annemasse,annemasse
anneville sur scie,anneville sur scie
annoeullin,ann ullin
anor,anor
anould,anould
ansac,ansac sur vienne
anse,anse
anstaing,anstaing
antheor cap roux,saint raphael
antibes,antibes
antignac haute garonne,antignac
antignac vebret,vebret
antilly,betz
antony,antony
anvin,anvin
anzeling,anzeling
aouste sur sye,aouste sur sye
appeville,conde sur risle
appilly,appilly
aramon,aramon
arbanats,arbanats
arbent,arbent
arbois,arbois
arbere,divonne les bains
arc et senans,arc et senans
arcambal,arcambal
archamps collonges sous saleve,archamps
arches,arches
archignat,archignat
arcis sur aube,arcis sur aube
arcomie,albaret sainte marie
arcueil cachan,cachan
arcy sur cure,arcy sur cure
ardentes,ardentes
ardon montrond,ardon
arenc euromediterranee,marseille
arengosse,arengosse
arfeuilles le breuil,le breuil
argagnon,argagnon
argeles gazost,argeles gazost
argeles sur mer,argeles sur mer
argent,argent sur sauldre
argentan,argentan
argenteuil,argenteuil
argenteuil gc,argenteuil
argentine,argentine
argentiere,chamonix mont blanc
argenton sur creuse,argenton sur creuse
argonay,argonay
argy,argy
arjuzanx,morcenx la nouvelle
arlanc,arlanc
arles,arles
arleux,arleux
armentieres,armentieres
arnage,arnage
arnieres sur iton,arnieres sur iton
arneke,arneke
arpajon,arpajon
arpajon sur cere,arpajon sur cere
arques pas de calais,arques
arques la bataille,arques la bataille
arrancy sur crusne,arrancy sur crusnes
arras,arras
arreau,arreau
arrou,commune nouvelle d arrou
ars sur moselle,ars sur moselle
arsonval jaucourt,jaucourt
artemare st martin,saint martin de bavel
artenay,artenay
arthenay,vouille
artix,artix
artonges,dhuys et morin en brie
artres,artres
arudy,arudy
arvant,bournoncle saint pierre
arveyres,arveyres
arzembouy,arzembouy
arzillieres st remy,arzillieres neuville
arzviller,saint louis
arcay,arcay
ascoux,ascoux
ascq,villeneuve d ascq
