source_uic,target_uic,weight_minutes,source_name,target_name
71043075,71793000,14.0,FIGUERES-VILAFANT,GIRONA
71043075,87784009,23.0,FIGUERES-VILAFANT,Perpignan
71718010,71793000,41.0,Barcelone-Sants,GIRONA
71793000,71043075,15.0,GIRONA,FIGUERES-VILAFANT
71793000,71718010,42.0,GIRONA,Barcelone-Sants
71793150,87785006,6.0,Portbou,Cerbère
80021402,80203471,26.0,Augsburg Hbf,Munich
80021402,80291039,42.0,Augsburg Hbf,Ulm Hbf
80077990,80659698,4.0,Berlin-Gesundbrunnen,Berlin Hbf-Lehrter Bahnhof Nord
80110650,80140087,44.0,Frankfurt (Main) Sued,Mannheim Hbf
80110650,80160432,126.0,Frankfurt (Main) Sued,Erfurt Hbf
80110684,80140087,37.0,Francfort sur le Main,Mannheim Hbf
80110684,80142281,78.0,Francfort sur le Main,Karlsruhe Hbf
80110684,80160432,126.0,Francfort sur le Main,Erfurt Hbf
80140087,80110650,36.0,Mannheim Hbf,Frankfurt (Main) Sued
80140087,80110684,36.0,Mannheim Hbf,Francfort sur le Main
80140087,80142281,23.0,Mannheim Hbf,Karlsruhe Hbf
80140087,80196980,37.0,Mannheim Hbf,Kaiserslautern Hbf
80140087,80253914,93.0,Mannheim Hbf,Sarrebruck
80140087,80290346,40.0,Mannheim Hbf,Stuttgart Hbf
80142281,80110684,72.0,Karlsruhe Hbf,Francfort sur le Main
80142281,80140087,23.0,Karlsruhe Hbf,Mannheim Hbf
80142281,80142778,22.0,Karlsruhe Hbf,Baden-Baden
80142281,80290346,36.0,Karlsruhe Hbf,Stuttgart Hbf
80142281,80290551,44.0,Karlsruhe Hbf,Esslingen (Neckar)
80142281,80297796,26.0,Karlsruhe Hbf,Vaihingen (Enz)
80142281,87113001,147.0,Karlsruhe Hbf,Paris Est
80142281,87212027,40.0,Karlsruhe Hbf,Strasbourg
80142778,80142281,18.0,Baden-Baden,Karlsruhe Hbf
80142778,87212027,30.0,Baden-Baden,Strasbourg
80142893,80142901,3.0,Appenweier,Legelshurst
80142893,80143099,6.0,Appenweier,Offenburg
80142901,80142893,3.0,Legelshurst,Appenweier
80142901,80142919,2.0,Legelshurst,Kork
80142919,80142901,3.0,Kork,Legelshurst
80142919,80142927,2.0,Kork,Kehl
80142927,80142919,3.0,Kehl,Kork
80142927,87212027,25.0,Kehl,Strasbourg
80142927,87338525,4.0,Kehl,Krimmeri Meinau
80143099,80142893,4.0,Offenburg,Appenweier
80143099,80143198,10.0,Offenburg,Lahr (Schwarzw)
80143099,87212027,21.0,Offenburg,Strasbourg
80143198,80143099,11.0,Lahr (Schwarzw),Offenburg
80143198,80143255,7.0,Lahr (Schwarzw),Ringsheim
80143255,80143099,16.0,Ringsheim,Offenburg
80143255,80143198,7.0,Ringsheim,Lahr (Schwarzw)
80143255,80143503,19.0,Ringsheim,Freiburg (Breisgau) Hbf
80143503,80143255,19.0,Freiburg (Breisgau) Hbf,Ringsheim
