source_uic,target_uic,weight_minutes,source_name,target_name
87001479,87271460,1.0,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),Roissy-Aéroport-Charles-de-Gaulle 1
87009696,87571406,4.466,La Douzillère,Montbazon
87009696,87571885,1.586,La Douzillère,Joué-lès-Tours
87109306,87223263,58.105,Lille CHR,Lille-Europe
87109306,87286005,53.054,Lille CHR,Lille-Flandres
87109306,87286112,1.0,Lille CHR,Loos-lez-Lille
87109306,87287250,1.665,Lille CHR,Lille-Porte-de-Douai
87111278,87113001,54.544,Porte-de-Clichy,Paris-Est
87111278,87271007,50.02,Porte-de-Clichy,Paris-Nord
87111278,87271023,50.02,Porte-de-Clichy,Paris-Nord-Souterraine
87111278,87271031,50.02,Porte-de-Clichy,Paris-Nord-Surface
87111278,87271247,1.0,Porte-de-Clichy,St-Ouen
87111278,87281873,52.017,Porte-de-Clichy,Magenta
87111278,87281899,36.076,Porte-de-Clichy,Haussmann-St-Lazare
87111278,87381012,1.0,Porte-de-Clichy,Péreire-Levallois
87111278,87381020,43.251,Porte-de-Clichy,Neuilly-Porte-Maillot
87111278,87381038,56.394,Porte-de-Clichy,Avenue-Foch
87111278,87381111,14.554,Porte-de-Clichy,Pont-Cardinet
87111278,87384008,32.669,Porte-de-Clichy,Paris-St-Lazare
87111278,87393033,51.016,Porte-de-Clichy,Invalides
87111278,87393041,53.867,Porte-de-Clichy,Pont-de-l'Alma
87111278,87731448,44.307,Porte-de-Clichy,Porte Maillot
87111864,87783563,2.804,Balsièges-Bourg,Barjac
87111864,87783605,3.987,Balsièges-Bourg,Mende
87113001,87111278,54.544,Paris-Est,Porte-de-Clichy
87113001,87271007,10.903,Paris-Est,Paris-Nord
87113001,87271023,10.903,Paris-Est,Paris-Nord-Souterraine
87113001,87271031,10.903,Paris-Est,Paris-Nord-Surface
87113001,87281873,9.431,Paris-Est,Magenta
87113001,87281899,35.055,Paris-Est,Haussmann-St-Lazare
87113001,87381111,51.94,Paris-Est,Pont-Cardinet
87113001,87384008,36.816,Paris-Est,Paris-St-Lazare
87113001,87393033,54.227,Paris-Est,Invalides
87113001,87654798,1.33,Paris-Est,Rosa Parks
87113001,87686006,56.055,Paris-Est,Paris-Gare-de-Lyon
